"week","revenue"
"2","799.96"
"3","139.49"
"5","99.98"
"6","268.50"
"7","360.00"
"10","94.50"
"12","262.99"
"13","120.00"
"14","378.99"
"15","99.98"
"16","49.99"
"18","89.50"
"19","720.00"
"21","78.75"
"22","199.99"
"23","179.00"
"24","181.47"
"27","639.98"
"28","94.50"
"29","399.98"
"31","99.98"
"32","358.00"
"33","360.00"
"35","162.98"
"37","199.99"
"39","179.00"
"40","169.99"
"42","318.75"
"44","47.25"
"45","199.99"
"46","399.98"
"47","199.96"
"48","328.97"
"50","209.50"
"51","438.75"
"52","63.00"
