"product_id","month","revenue"
1,"1","799.96"
1,"3","199.99"
1,"4","199.99"
1,"6","199.99"
1,"7","799.96"
1,"9","199.99"
1,"11","599.97"
2,"1","89.50"
2,"2","268.50"
2,"4","179.00"
2,"5","89.50"
2,"6","179.00"
2,"8","358.00"
2,"9","179.00"
2,"12","268.50"
3,"1","49.99"
3,"2","99.98"
3,"4","149.97"
3,"6","149.97"
3,"8","99.98"
3,"9","99.98"
3,"10","49.99"
3,"11","199.96"
3,"12","149.97"
4,"2","360.00"
4,"4","120.00"
4,"5","720.00"
4,"7","240.00"
4,"8","360.00"
4,"9","120.00"
4,"10","240.00"
4,"12","480.00"
5,"3","157.50"
5,"5","78.75"
5,"6","31.50"
5,"7","94.50"
5,"9","63.00"
5,"10","78.75"
5,"11","47.25"
5,"12","141.75"
